stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1079,Bennett & Pasadena NW,BENNETT RD & PASADENA BLVD,41.702709,-83.556445,,,,,,0
1080,Bennett & Pasadena SE,BENNETT RD & PASADENA BLVD,41.702183,-83.556272,,,,,,0
1081,Bennett & Poinsetta NW,BENNETT RD & W POINSETTA AVE,41.705625,-83.556521,,,,,,0
1082,Bennett & Poinsetta SE,BENNETT RD & W POINSETTA AVE,41.704733,-83.556381,,,,,,0
1083,Bennett & Regina NW,BENNETT RD & REGINA PKWY,41.715894,-83.556764,,,,,,0
1084,Bennett & Sandralee NW,BENNETT RD & SANDRALEE DR,41.713375,-83.556728,,,,,,0
1085,Bennett & Southdale SE,BENNETT RD & SOUTHDALE RD,41.71531,-83.556646,,,,,,0
1086,Bennett & Sylvania NE,BENNETT RD & W SYLVANIA AVE,41.693419,-83.555925,,,,,,0
1087,Bennett & Sylvania NW,BENNETT RD & W SYLVANIA AVE,41.69422,-83.556102,,,,,,0
1088,Bennett & Waggoner NW,BENNETT RD & WAGGONER BLVD,41.700661,-83.556379,,,,,,0
1089,Bennett & Waggoner SE,BENNETT RD & WAGGONER BLVD,41.700744,-83.556235,,,,,,0
1090,Bennett & Waybridge SE,BENNETT RD & WAYBRIDGE RD,41.710397,-83.556551,,,,,,0
1091,Berdan & Revere NE,BERDAN AVE & REVERE DR,41.688885,-83.576419,,,,,,0
1092,Berdan & RevereSW,BERDAN AVE & REVERE DR,41.688789,-83.577176,,,,,,0
1093,Berdan & Roanoke NE,BERDAN AVE & ROANOKE RD,41.689041,-83.598399,,,,,,0
1094,Berdan & Upton NW,BERDAN AVE & UPTON AVE,41.688696,-83.59031,,,,,,0
1095,Berdan & Upton SW,BERDAN AVE & UPTON AVE,41.688627,-83.589674,,,,,,0
